SampleID,Abbreviation,Antibiotic,ZoneDiameter_mm,Interpretation,SPECIES,ResistanceMechanism,original_path,measured_path,original_exists,measured_exists,label_int,is_resistant
1.1.1,CPD,Cefpodoxim,28.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,AMC,Amoxicillin/Clavulanic acid,22.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,CRO,Ceftriaxon,35.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,CIP,Ciprofloxacin,34.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,FOX,Cefoxitin,26.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,CAZ,Ceftazidim,28.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,TPZ,Piperacillin/Tazobactam,26.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,SXT,Sufamethoxazol-Trimethoprim,30.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,MEM,Meropenem,34.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,CN,Gentamicin (10ug),21.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,F100,Nitrofurantoin (100ug),22.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,ETP,Ertapenem,38.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,FF,Fosfomycin,30.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,PEF,Pefloxacin,28.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,FEP,Cefepim,36.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.1.1,AM10,Ampicillin (10ug),22.0,S,Escherichia coli,None,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.1.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.1.1. measured.jpg,True,True,0,0
1.10.1,MEM,Meropenem,30.0,S,Klebsiella aerogenes,AmpC,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.10.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.10.1. measured.jpg,True,True,0,0
1.10.1,PEF,Pefloxacin,18.0,R,Klebsiella aerogenes,AmpC,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.10.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.10.1. measured.jpg,True,True,2,1
1.10.1,CPD,Cefpodoxim,22.0,S,Klebsiella aerogenes,AmpC,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.10.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.10.1. measured.jpg,True,True,0,0
1.10.1,CIP,Ciprofloxacin,25.0,S,Klebsiella aerogenes,AmpC,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.10.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.10.1. measured.jpg,True,True,0,0
1.10.1,CN,Gentamicin (10ug),21.0,S,Klebsiella aerogenes,AmpC,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_original/1.10.1. original.jpg,/kaggle/input/datasets/abedhossain/dryad-image-dataset-of-amr/images_measured/1.10.1. measured.jpg,True,True,0,0
